Unnamed: 0,Escola,Ano,Turma,EF05MA02,EF05MA03,EF05MA19,EF05MA18,EF05MA24,EF05MA25,Total
0,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.0,0.3,0.0,0,0.0,0,5.0
1,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.3,0.7,0,1.0,1,63.0
2,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.2,0.3,0.0,0,0.7,1,37.0
3,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.7,0.3,1,0.7,1,75.0
4,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.7,0.7,1,1.0,1,87.0
5,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.2,0.7,0.0,0,1.0,1,48.0
6,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.7,0.7,1,0.7,1,82.0
7,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.7,0.7,1,1.0,1,87.0
8,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.7,0.3,1,1.0,1,80.0
9,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.0,0.3,1,0.7,1,63.0
10,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.7,0.3,0,1.0,1,63.0
11,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.7,0.3,0,0.7,1,58.0
12,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.5,0.0,0.3,1,0.7,1,58.0
13,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.5,0.3,0.3,1,0.3,0,40.0
14,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.5,0.7,0.0,1,0.7,1,65.0
15,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.7,0.7,1,1.0,1,87.0
16,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.3,0.7,1,1.0,1,80.0
17,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.3,0.3,1,1.0,1,73.0
18,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.5,0.7,0.7,1,1.0,1,82.0
19,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.5,0.3,0.3,1,0.7,1,63.0
20,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.7,0.7,1,1.0,1,87.0
21,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.5,0.3,0.0,1,0.3,1,52.0
22,E. M. T. I. Vilmar Vasconselos Feitosa,5,A,0.8,0.3,0.7,1,0.7,1,75.0
23,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
24,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
25,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,0.7,1,65.0
26,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
27,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
28,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
29,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
30,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
31,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.2,0.3,0.3,0,0.3,1,35.0
32,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
33,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
34,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.5,0.7,0.3,1,0.7,1,70.0
35,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
36,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,0.7,1,65.0
37,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
38,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
39,E. M. T. I. Vilmar Vasconselos Feitosa,5,B,0.8,0.7,0.7,0,1.0,1,70.0
40,E. M. E. C Boanerges Moreira de Paula,5,U,0.8,1.0,0.7,0,0.3,0,47.0
41,E. M. E. C Boanerges Moreira de Paula,5,U,0.8,0.3,0.7,1,0.7,1,75.0
42,E. M. E. C Boanerges Moreira de Paula,5,U,0.5,0.0,0.0,0,0.7,1,37.0
43,E. M. E. C Boanerges Moreira de Paula,5,U,0.8,0.3,0.7,1,0.7,1,75.0
44,E. M. E. C Boanerges Moreira de Paula,5,U,0.8,0.7,0.7,0,0.7,1,65.0
45,E. M. E. C Boanerges Moreira de Paula,5,U,0.2,0.0,0.3,0,0.7,1,37.0
46,E. M. E. C Boanerges Moreira de Paula,5,U,0.5,0.3,0.3,0,0.3,1,40.0
47,E. M. E. C Boanerges Moreira de Paula,5,U,0.2,0.3,0.0,0,0.3,1,30.0
48,E. M. E. C. Santa Marina,5,U,0.2,0.3,0.3,0,0.7,1,42.0
49,E. M. E. C. Santa Marina,5,U,0.0,0.3,0.0,0,0.0,0,5.0
50,E. M. E. C. Santa Marina,5,U,0.2,0.3,0.7,0,0.7,1,48.0
51,E. M. E. C. Santa Marina,5,U,0.2,0.7,0.0,0,0.7,1,43.0
52,E. M. E. C. Santa Marina,5,U,0.5,0.3,0.3,0,0.3,0,23.0
53,E. M. E. F. Francisco Martins Noleto,5,A,0.8,0.3,0.7,1,0.0,0,47.0
54,E. M. E. F. Francisco Martins Noleto,5,A,0.0,0.3,0.3,0,0.7,0,22.0
55,E. M. E. F. Francisco Martins Noleto,5,A,0.2,0.3,0.3,0,0.3,0,18.0
56,E. M. E. F. Francisco Martins Noleto,5,A,0.5,0.3,0.3,1,0.3,1,57.0
57,E. M. E. F. Francisco Martins Noleto,5,A,0.8,0.0,0.7,1,0.3,1,63.0
58,E. M. E. F. Francisco Martins Noleto,5,A,0.5,0.3,0.7,0,0.7,1,53.0
59,E. M. E. F. Francisco Martins Noleto,5,A,0.0,0.0,0.3,0,0.3,0,10.0
60,E. M. E. F. Francisco Martins Noleto,5,A,0.5,0.3,0.3,0,1.0,1,52.0
61,E. M. E. F. Francisco Martins Noleto,5,A,0.8,0.3,0.7,1,0.7,1,75.0
62,E. M. E. F. Francisco Martins Noleto,5,A,0.2,0.0,0.3,0,0.7,0,20.0
63,E. M. E. F. Francisco Martins Noleto,5,A,0.8,0.0,0.3,1,0.3,1,57.0
64,E. M. E. F. Francisco Martins Noleto,5,A,0.5,0.3,0.7,0,1.0,1,58.0
65,E. M. E. F. Francisco Martins Noleto,5,A,0.8,0.3,0.7,1,0.7,1,75.0
66,E. M. E. F. Francisco Martins Noleto,5,A,0.5,0.0,0.7,1,0.3,1,58.0
67,E. M. E. F. Francisco Martins Noleto,5,A,0.5,0.3,0.7,1,1.0,1,75.0
68,E. M. E. F. Francisco Martins Noleto,5,A,0.8,0.7,0.7,0,0.7,1,65.0
69,E. M. E. F. Francisco Martins Noleto,5,A,0.5,0.0,0.3,0,0.7,1,42.0
70,E. M. E. F. Francisco Martins Noleto,5,A,0.8,0.3,0.7,1,1.0,1,80.0
71,E. M. E. F. Francisco Martins Noleto,5,A,0.5,0.3,0.0,0,0.7,1,42.0
72,E. M. E. F. Francisco Martins Noleto,5,A,0.0,0.0,0.3,0,0.3,1,27.0
73,E. M. E. F. Francisco Martins Noleto,5,A,0.2,0.0,0.3,1,0.0,0,25.0
74,E. M. E. F. Francisco Martins Noleto,5,A,0.0,0.3,0.0,0,0.7,1,33.0
75,E. M. E. F. Francisco Martins Noleto,5,A,0.0,0.7,0.3,0,0.0,0,17.0
76,E. M. E. F. Francisco Martins Noleto,5,A,0.0,0.3,0.3,1,1.0,1,60.0
77,E. M. E. F. Francisco Martins Noleto,5,A,0.8,0.3,0.3,1,0.3,1,62.0
78,E. M. E. F. Francisco Martins Noleto,5,A,0.0,0.3,0.3,0,0.0,0,10.0
79,E. M. E. F. Francisco Martins Noleto,5,B,1.0,0.7,0.7,0,1.0,1,73.0
80,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.7,0,0.3,1,42.0
81,E. M. E. F. Francisco Martins Noleto,5,B,1.0,0.3,0.3,0,0.7,1,55.0
82,E. M. E. F. Francisco Martins Noleto,5,B,0.8,0.0,0.3,1,0.0,0,35.0
83,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.7,0,0.3,0,25.0
84,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.3,0,0.0,0,13.0
85,E. M. E. F. Francisco Martins Noleto,5,B,0.8,0.0,0.3,0,1.0,1,52.0
86,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.7,1,0.3,1,58.0
87,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.3,0,0.7,1,42.0
88,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.7,0,0.0,0,20.0
89,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.3,1,0.3,1,52.0
90,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.7,0,0.7,1,48.0
91,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.3,0,0.7,1,42.0
92,E. M. E. F. Francisco Martins Noleto,5,B,0.8,0.3,0.7,0,1.0,1,63.0
93,E. M. E. F. Francisco Martins Noleto,5,B,1.0,0.7,0.7,0,1.0,1,73.0
94,E. M. E. F. Francisco Martins Noleto,5,B,0.2,0.0,0.7,0,0.0,0,15.0
95,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.7,1,0.3,0,42.0
96,E. M. E. F. Francisco Martins Noleto,5,B,0.2,0.0,0.7,0,0.7,1,43.0
97,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.7,1,0.7,1,65.0
98,E. M. E. F. Francisco Martins Noleto,5,B,0.2,0.3,0.0,0,0.0,0,8.0
99,E. M. E. F. Francisco Martins Noleto,5,B,0.8,0.0,0.7,0,1.0,1,58.0
100,E. M. E. F. Francisco Martins Noleto,5,B,0.2,0.0,0.3,0,0.0,0,8.0
101,E. M. E. F. Francisco Martins Noleto,5,B,0.5,0.0,0.7,1,0.0,0,37.0
102,E. M. E. F. Francisco Martins Noleto,5,C,0.2,0.7,0.0,0,0.0,0,15.0
103,E. M. E. F. Francisco Martins Noleto,5,C,0.2,0.3,0.0,0,0.3,1,30.0
104,E. M. E. F. Francisco Martins Noleto,5,C,0.2,0.0,0.3,0,0.3,0,13.0
105,E. M. E. F. Francisco Martins Noleto,5,C,0.5,0.3,0.3,0,1.0,1,52.0
106,E. M. E. F. Francisco Martins Noleto,5,C,0.2,0.0,0.7,0,0.0,0,15.0
107,E. M. E. F. Francisco Martins Noleto,5,C,0.8,0.3,0.3,0,0.7,1,52.0
108,E. M. E. F. Francisco Martins Noleto,5,C,0.2,0.3,1.0,0,0.3,1,47.0
109,E. M. E. F. Francisco Martins Noleto,5,C,0.0,0.7,0.3,0,0.3,1,38.0
110,E. M. E. F. Francisco Martins Noleto,5,C,0.2,0.7,0.3,0,0.0,0,20.0
111,E. M. E. F. Francisco Martins Noleto,5,C,0.2,0.7,0.7,0,0.3,1,48.0
112,E. M. E. F. Francisco Martins Noleto,5,C,0.2,0.3,0.7,0,0.3,0,25.0
113,E. M. E. F. Francisco Martins Noleto,5,C,0.5,0.7,0.0,0,0.7,1,48.0
114,E. M. E. F. Francisco Martins Noleto,5,C,0.2,0.3,0.3,0,0.3,0,18.0
115,E. M. E. F. Francisco Martins Noleto,5,C,0.8,0.7,0.7,0,1.0,1,70.0
116,E. M. E. F. Francisco Martins Noleto,5,C,0.8,0.7,0.7,0,1.0,1,70.0
117,E. M. E. F. Francisco Martins Noleto,5,C,0.2,0.3,0.3,0,0.3,1,35.0
118,E. M. E. F. Francisco Martins Noleto,5,C,0.0,0.3,0.0,0,0.3,1,27.0
119,E. M. E. F. Francisco Martins Noleto,5,C,0.5,0.7,0.3,0,0.7,1,53.0
120,E. M. E. F. Francisco Martins Noleto,5,C,0.2,0.0,0.7,0,0.0,0,15.0
121,E. M. E. F. Francisco Martins Noleto,5,C,0.5,0.0,0.7,0,0.3,1,42.0
122,E. M. E. F. Francisco Martins Noleto,5,C,0.5,0.3,1.0,0,0.3,1,52.0
123,E. M. E. F. Francisco Martins Noleto,5,C,0.5,0.3,0.3,0,0.3,1,40.0
124,E. M. E. F. Francisco Martins Noleto,5,C,0.5,0.3,0.3,0,0.0,0,18.0
